Track,Date,Race Number,Breed of Race,Distance,About Distance Indicator,Surface,Off Turf Indicator,Course Type,Race Type,Abbreviated Race Conditions,Race Name,Sex Restriction,Age Restriction,Statebred Restriction,Purse,Maximum Claiming Price,Minimum Claiming Price,Grade,Division,Number of Starters,Track Condition,Weather,Post Time,Temp Rail Distance,Chute Start Indicator,Track Sealed Indicator,Race F1 Time,Race F2 Time,Race F3 Time,Race F4 Time,Race F5 Time,Race Winning Time,WPS Combined Pool,Run Up Distance,Downhill Turf Indicator,Number of turns in race,Number of turns in race (decimal),Field 39,Field 40,Field 41,Field 42,Field 43,Field 44,Field 45,Field 46,Field 47,Field 48,Field 49,Field 50,Horse Name,Horse Age,Horse Sex,Medication,Equipment,Weight Carried,Claiming Price,Earnings,Program Number,Coupled Type,Morning Line Odds,Final Tote Odds,Favorite Indicator,Non-Betting Indicator,Win Mutuel Paid,Place Mutuel Paid,Show Mutuel Paid,Post Position,Position at Start Call,Position at Call 1,Position at Call 2,Position at Call 3,Position at Call 4,Position at Call 5,Position at Finish,Official Finish Position,Call 1 Lengths Behind,Call 2 Lengths Behind,Call 3 Lengths Behind,Call 4 Lengths Behind,Stretch Call Lengths Behind,Finish Lengths Behind,Comment Line,Trainer First Name,Trainer Middle Name,Trainer Last Name,Jockey First Name,Jockey Middle Name,Jockey Last Name,Apprentice Wgt Allowance,Owner Full Name,Claimed Indicator,Claiming Trainer First Name,Claiming Trainer Middle Name,Claiming Trainer Last Name,Claiming Owner Full Name,Scratch Indicator,Reason for Scratch,Last Race Track,Last Race Date,Last Race Race Number,Last Race Finish Position,Long Comment Line,Sire,Dam,DamSire,Foaling Date,Foaling Area,Horse Weight,Number of Claims Submitted,Void Indicator,Void Reason,Breeder,Color,Jockey ID,Trainer ID,Field 117,Field 118,Field 119,Field 120,Field 121,Field 122,Field 123,Field 124,Field 125,Field 126,Field 127,Field 128,Field 129,Field 130,#1 Wager Type,#1 Wager Unit,#1 Number Right,#1 Wager Payout,#1 Winning Pgm Numbers,#1 Total Pool,#2 Wager Type,#2 Wager Unit,#2 Number Right,#2 Wager Payout,#2 Winning Pgm Numbers,#2 Total Pool,#3 Wager Type,#3 Wager Unit,#3 Number Right,#3 Wager Payout,#3 Winning Pgm Numbers,#3 Total Pool,#4 Wager Type,#4 Wager Unit,#4 Number Right,#4 Wager Payout,#4 Winning Pgm Numbers,#4 Total Pool,#5 Wager Type,#5 Wager Unit,#5 Number Right,#5 Wager Payout,#5 Winning Pgm Numbers,#5 Total Pool,#6 Wager Type,#6 Wager Unit,#6 Number Right,#6 Wager Payout,#6 Winning Pgm Numbers,#6 Total Pool,#7 Wager Type,#7 Wager Unit,#7 Number Right,#7 Wager Payout,#7 Winning Pgm Numbers,#7 Total Pool,#8 Wager Type,#8 Wager Unit,#8 Number Right,#8 Wager Payout,#8 Winning Pgm Numbers,#8 Total Pool,#9 Wager Type,#9 Wager Unit,#9 Number Right,#9 Wager Payout,#9 Winning Pgm Numbers,#9 Total Pool,#10 Wager Type,#10 Wager Unit,#10 Number Right,#10 Wager Payout,#10 Winning Pgm Numbers,#10 Total Pool,#11 Wager Type,#11 Wager Unit,#11 Number Right,#11 Wager Payout,#11 Winning Pgm Numbers,#11 Total Pool,#12 Wager Type,#12 Wager Unit,#12 Number Right,#12 Wager Payout,#12 Winning Pgm Numbers,#12 Total Pool,#13 Wager Type,#13 Wager Unit,#13 Number Right,#13 Wager Payout,#13 Winning Pgm Numbers,#13 Total Pool,#14 Wager Type,#14 Wager Unit,#14 Number Right,#14 Wager Payout,#14 Winning Pgm Numbers,#14 Total Pool,#15 Wager Type,#15 Wager Unit,#15 Number Right,#15 Wager Payout,#15 Winning Pgm Numbers,#15 Total Pool,#16 Wager Type,#16 Wager Unit,#16 Number Right,#16 Wager Payout,#16 Winning Pgm Numbers,#16 Total Pool,#17 Wager Type,#17 Wager Unit,#17 Number Right,#17 Wager Payout,#17 Winning Pgm Numbers,#17 Total Pool,#18 Wager Type,#18 Wager Unit,#18 Number Right,#18 Wager Payout,#18 Winning Pgm Numbers,#18 Total Pool,#19 Wager Type,#19 Wager Unit,#19 Number Right,#19 Wager Payout,#19 Winning Pgm Numbers,#19 Total Pool
OP,03/22/2026,1,Thoroughbred,6.00,,Dirt,,Main Course,Maiden Claiming,,,,3 year olds & up,,48000,40000,40000,,,6,Fast,Clear,12:33,,,,21.720,45.530,57.910,,,70.390,127488,80,,1,1,,,,,,,,,,,,,Ledbetter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Trainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exacta,1.00,,23.70,6-3,78830.00,Superfecta,.10,,93.81,6-3-7-5,21935.00,Trifecta,.50,,97.55,6-3-7,38821.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OP,03/22/2026,1,Thoroughbred,6.00,,Dirt,,Main Course,Maiden Claiming,,,,3 year olds & up,,48000,40000,40000,,,6,Fast,Clear,12:33,,,,21.720,45.530,57.910,,,70.390,127488,80,,1,1,,,,,,,,,,,,,Speedstorm,4,H,L,,124,40000,28800,6,,8,5.7,,,13.4,6.6,4.6,5,6,3,3,,,2,1,1,.60,1.10,,,.10,,"3-4p,inched ahead late",Ron,,Moquett,Ramon,A.,Vazquez,,Triton Thoroughbreds LLC,,,,,,,,GP,03/29/2025,5,7,"stalk, nudged 3p into turn, roused5/16, bid 4p lane, inched ahead",Volatile,Truly Striking,Smart Strike,05/07/2022,KY,,,,,"Fred W. Hertrich III, John D. Fielding & Robert L. Tribbett",GR/RO,100175,137778,,,,,,,,,,,,,,,Exacta,1.00,,23.70,6-3,78830.00,Superfecta,.10,,93.81,6-3-7-5,21935.00,Trifecta,.50,,97.55,6-3-7,38821.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OP,03/22/2026,1,Thoroughbred,6.00,,Dirt,,Main Course,Maiden Claiming,,,,3 year olds & up,,48000,40000,40000,,,6,Fast,Clear,12:33,,,,21.720,45.530,57.910,,,70.390,127488,80,,1,1,,,,,,,,,,,,,Capital Connection,5,G,L,Blinkers,124,40000,9600,3,,1.6,2.7,,,,4.4,3,2,3,1,1,,,1,2,2,,,,,,.50,"2p-rail,dug in,bump1/8",Steven,M.,Asmussen,Keith,J.,Asmussen,,Steven M. Asmussen,,,,,,,,OP,03/07/2026,8,2,"pace2p, nibbled ins turn, cue1/4, dug in2p lane,bump1/8,edged out",Connect,Karaoke Queen,Flatter,02/18/2021,KY,,,,,Golden Goose Enterprises,DK B/,168392,5621,,,,,,,,,,,,,,,Exacta,1.00,,23.70,6-3,78830.00,Superfecta,.10,,93.81,6-3-7-5,21935.00,Trifecta,.50,,97.55,6-3-7,38821.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OP,03/22/2026,1,Thoroughbred,6.00,,Dirt,,Main Course,Maiden Claiming,,,,3 year olds & up,,48000,40000,40000,,,6,Fast,Clear,12:33,,,,21.720,45.530,57.910,,,70.390,127488,80,,1,1,,,,,,,,,,,,,McKinsense,4,G,L,BF,124,40000,4800,7,,15,9.5,,,,,5,6,5,6,5,,,4,3,3,1.30,1.70,,,1.20,2.50,"trailed 5-4p, ran on",Randy,L.,Morse,Rafael,,Bejarano,,"Patterson, Randy, Vogel, Sam M and Morgan, Joe",,,,,,,,,,,,"trailed 5p, driven 4p turn, swung 5p into lane, ran on for show",McKinzie,Lily Con,Verrazano,02/11/2022,KY,,,,,"Fred W. Hertrich lll, John D. Fielding & Robert L. Tribbett",B,102032,1300,,,,,,,,,,,,,,,Exacta,1.00,,23.70,6-3,78830.00,Superfecta,.10,,93.81,6-3-7-5,21935.00,Trifecta,.50,,97.55,6-3-7,38821.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OP,03/22/2026,1,Thoroughbred,6.00,,Dirt,,Main Course,Maiden Claiming,,,,3 year olds & up,,48000,40000,40000,,,6,Fast,Clear,12:33,,,,21.720,45.530,57.910,,,70.390,127488,80,,1,1,,,,,,,,,,,,,Historic,4,G,L,Blinkers,124,40000,2400,5,,4,7.4,,,,,,4,2,2,2,,,3,4,4,.10,.10,,,.20,3.50,"bump st, 2-3p, bump1/8",Norm,W.,Casse,Abel,,Cedillo,,Harry T. Rosenblum,,,,,,,,OP,02/14/2026,1,5,"bump st,press,vied2p turn,roused1/4,fought on3p,bump1/8, flatten",Take Charge Indy,My Ekati Cat,Tale of Ekati,02/25/2022,KY,,,,,Frankfort Park Farm & Lady Lydie Bloodstock,DK B/,136123,962326,,,,,,,,,,,,,,,Exacta,1.00,,23.70,6-3,78830.00,Superfecta,.10,,93.81,6-3-7-5,21935.00,Trifecta,.50,,97.55,6-3-7,38821.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OP,03/22/2026,1,Thoroughbred,6.00,,Dirt,,Main Course,Maiden Claiming,,,,3 year olds & up,,48000,40000,40000,,,6,Fast,Clear,12:33,,,,21.720,45.530,57.910,,,70.390,127488,80,,1,1,,,,,,,,,,,,,Nyquist Frequency,5,G,L,Blinkers,124,40000,1200,1,,2,1.4,Y,,,,,1,4,5,4,,,5,5,5,1.20,1.60,,,1.70,4.75,"ins,angle4p upr,no bid",Chris,A.,Hartman,Francisco,,Arrieta,,JD Thoroughbreds LLC,,,,,,,,OP,02/14/2026,1,2,"track inside, angled 4p upper stretch, no closing bid",Nyquist,Is It Gold,Indygo Shiner,04/22/2021,KY,,,,,Titletown Racing Stables (Paul Farr),DK B/,148561,235027,,,,,,,,,,,,,,,Exacta,1.00,,23.70,6-3,78830.00,Superfecta,.10,,93.81,6-3-7-5,21935.00,Trifecta,.50,,97.55,6-3-7,38821.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OP,03/22/2026,1,Thoroughbred,6.00,,Dirt,,Main Course,Maiden Claiming,,,,3 year olds & up,,48000,40000,40000,,,6,Fast,Clear,12:33,,,,21.720,45.530,57.910,,,70.390,127488,80,,1,1,,,,,,,,,,,,,Hard Circle,4,H,L,Blinkers,124,40000,1200,4,,6,4.6,,,,,,3,1,4,6,,,6,6,6,1.10,2.20,,,4.70,12.00,"bump st, btw3p, no bid",Michael,J.,Maker,Cristian,A.,Torres,,Three Diamonds Farm,,,,,,,,OP,02/19/2026,7,3,"bump st, rated between 3p early, not threaten",Hard Spun,Fierce for Sul,Speightstown,04/01/2022,KY,,,,,HRH Prince Sultan Bin Mishal Al Saud,GR/RO,158863,29986,,,,,,,,,,,,,,,Exacta,1.00,,23.70,6-3,78830.00,Superfecta,.10,,93.81,6-3-7-5,21935.00,Trifecta,.50,,97.55,6-3-7,38821.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OP,03/22/2026,2,Thoroughbred,8.00,,Dirt,,Main Course,Claiming,NW2     L,,Fillies & mares,3 year olds & up,,41000,32000,32000,,,8,Fast,Clear,1:06,,,,23.750,47.910,73.010,86.390,,99.570,154934,60,,2,2,,,,,,,,,,,,,Promisemeanempire,5,M,L,Front Wraps,121,32000,24600,3,,6,1.9,Y,,5.8,3.2,2.6,3,3,2,1,1,,1,1,1,.10,,,,,,"bump st,rail,drift out",Matt,A.,Shirer,Francisco,,Arrieta,,Chris Odom,,,,,,,,OP,02/20/2026,9,3,"bump st, pace off rail, roused 1/4, kicked on while drifting out",Classic Empire,Promise Me More,More Than Ready,05/03/2021,KY,,,,,Almar Farm LLC,DK B/,148561,955548,,,,,,,,,,,,,,,Daily Double,1.00,,29.40,6-3,32417.00,Exacta,1.00,,6.80,3-4,100695.00,Superfecta,.10,,21.24,3-4-6-7,37374.00,Trifecta,.50,,22.45,3-4-6,58459.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OP,03/22/2026,2,Thoroughbred,8.00,,Dirt,,Main Course,Claiming,NW2     L,,Fillies & mares,3 year olds & up,,41000,32000,32000,,,8,Fast,Clear,1:06,,,,23.750,47.910,73.010,86.390,,99.570,154934,60,,2,2,,,,,,,,,,,,,Bamtwentyklater,4,M,L,,118,32000,8200,4,,2,2.4,,,,3,2.4,4,6,5,5,4,,2,2,2,2.20,3.10,2.10,,2.00,.25,"bump st,3p,float6p str",Thomas,M.,Amoss,Rafael,,Bejarano,,Bob Wheatley,,,,,,,,OP,02/26/2026,4,2,"bump btwn st, chase 3p, driven far turn, float 6p stretch, ran on",Tiz the Law,Youvegottopaytopla,Giant's Causeway,02/19/2022,KY,,,,,BlackRidge Stables LLC,B,102032,3496,,,,,,,,,,,,,,,Daily Double,1.00,,29.40,6-3,32417.00,Exacta,1.00,,6.80,3-4,100695.00,Superfecta,.10,,21.24,3-4-6-7,37374.00,Trifecta,.50,,22.45,3-4-6,58459.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OP,03/22/2026,2,Thoroughbred,8.00,,Dirt,,Main Course,Claiming,NW2     L,,Fillies & mares,3 year olds & up,,41000,32000,32000,,,8,Fast,Clear,1:06,,,,23.750,47.910,73.010,86.390,,99.570,154934,60,,2,2,,,,,,,,,,,,,Catching Heat,5,M,L,,121,32000,4100,6,,4.5,10.7,,,,,4,6,1,6,7,6,,4,3,3,4.20,4.60,3.20,,3.00,1.50,"4p,swung7p str,kept on",Steven,M.,Asmussen,Keith,J.,Asmussen,,Steven M. Asmussen,,,,,,,,OP,02/26/2026,4,4,"rated 4p, coaxed around far turn, swung 7p lane, kept on for show",Union Rags,Philly Mignon,Giant's Causeway,02/28/2021,KY,,,,,"PTK, LLC",DK B/,168392,5621,,,,,,,,,,,,,,,Daily Double,1.00,,29.40,6-3,32417.00,Exacta,1.00,,6.80,3-4,100695.00,Superfecta,.10,,21.24,3-4-6-7,37374.00,Trifecta,.50,,22.45,3-4-6,58459.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OP,03/22/2026,2,Thoroughbred,8.00,,Dirt,,Main Course,Claiming,NW2     L,,Fillies & mares,3 year olds & up,,41000,32000,32000,,,8,Fast,Clear,1:06,,,,23.750,47.910,73.010,86.390,,99.570,154934,60,,2,2,,,,,,,,,,,,,Teatotal,4,M,L,,118,32000,2050,7,,12,18,,,,,,7,7,7,6,7,,5,4,4,4.70,4.10,4.20,,5.00,4.00,"off pace 2-4p, evenly",Gene,,Jacquot,Israel,,Hernandez,,Joe D. Casey,,,,,,,,OP,02/26/2026,4,6,"off pace 2p, ridden around far turn, finished evenly 4p stretch",Tapwrit,Starship Tribbles,Macho Uno,01/30/2022,FL,,,Y,Vet,Starship Stables,B,149814,10485,,,,,,,,,,,,,,,Daily Double,1.00,,29.40,6-3,32417.00,Exacta,1.00,,6.80,3-4,100695.00,Superfecta,.10,,21.24,3-4-6-7,37374.00,Trifecta,.50,,22.45,3-4-6,58459.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OP,03/22/2026,2,Thoroughbred,8.00,,Dirt,,Main Course,Claiming,NW2     L,,Fillies & mares,3 year olds & up,,41000,32000,32000,,,8,Fast,Clear,1:06,,,,23.750,47.910,73.010,86.390,,99.570,154934,60,,2,2,,,,,,,,,,,,,Super Costly,4,M,L,Blinkers,121,32000,513,8,,3,5.3,,,,,,8,2,3,3,2,,3,5,5,1.10,1.60,.50,,2.50,4.05,"bid4p1/4,faded 2p lane",Rodolphe,,Brisset,Cristian,A.,Torres,,Jac Mac Stable LLC,Y,Cipriano,,Contreras,"Contreras Stable, Inc., Fisher, Edward J. and Fisher, Linda",,,CD,09/12/2025,1,6,"stalk 4p, roused bid 1/4, faded 2p lane",Dialed In,Superior Storm,Stormy Atlantic,03/03/2022,KY,,1,,,Jacmac Stable LLC,B,158863,959213,,,,,,,,,,,,,,,Daily Double,1.00,,29.40,6-3,32417.00,Exacta,1.00,,6.80,3-4,100695.00,Superfecta,.10,,21.24,3-4-6-7,37374.00,Trifecta,.50,,22.45,3-4-6,58459.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OP,03/22/2026,2,Thoroughbred,8.00,,Dirt,,Main Course,Claiming,NW2     L,,Fillies & mares,3 year olds & up,,41000,32000,32000,,,8,Fast,Clear,1:06,,,,23.750,47.910,73.010,86.390,,99.570,154934,60,,2,2,,,,,,,,,,,,,Revelant,4,M,L,,121,32000,513,5,,8,8.2,,,,,,5,5,1,2,3,,6,6,6,,1.50,.60,,6.50,10.05,"bump st, 3p, yield str",John,Alexander,Ortiz,Danilo,,Grisales Rave,,Rags Racing Stable LLC,,,,,,,,OP,02/28/2026,2,2,"bump st, press1st, up close 3p, driven btwn far turn, yielded str",Justify,Etching,Paynter,04/05/2022,KY,,,,,Grantley Acres,B,2789402,957666,,,,,,,,,,,,,,,Daily Double,1.00,,29.40,6-3,32417.00,Exacta,1.00,,6.80,3-4,100695.00,Superfecta,.10,,21.24,3-4-6-7,37374.00,Trifecta,.50,,22.45,3-4-6,58459.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OP,03/22/2026,2,Thoroughbred,8.00,,Dirt,,Main Course,Claiming,NW2     L,,Fillies & mares,3 year olds & up,,41000,32000,32000,,,8,Fast,Clear,1:06,,,,23.750,47.910,73.010,86.390,,99.570,154934,60,,2,2,,,,,,,,,,,,,Don't Look Back,5,M,L,,121,32000,512,1,,5,5.4,,,,,,1,4,4,4,5,,7,7,7,2.10,2.60,3.10,,7.00,10.30,"tracked 2p, weakened",Cipriano,,Contreras,Emmanuel,,Esquivel,,"Contreras Stable, Inc.",,,,,,,,OP,02/26/2026,4,3,"tracked 2p, weakened",Hard Spun,Elope,Gone West,04/26/2021,KY,,,,,"Peter E. Blum Thoroughbreds, LLC",DK B/,150648,956510,,,,,,,,,,,,,,,Daily Double,1.00,,29.40,6-3,32417.00,Exacta,1.00,,6.80,3-4,100695.00,Superfecta,.10,,21.24,3-4-6-7,37374.00,Trifecta,.50,,22.45,3-4-6,58459.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OP,03/22/2026,2,Thoroughbred,8.00,,Dirt,,Main Course,Claiming,NW2     L,,Fillies & mares,3 year olds & up,,41000,32000,32000,,,8,Fast,Clear,1:06,,,,23.750,47.910,73.010,86.390,,99.570,154934,60,,2,2,,,,,,,,,,,,,Quibble,4,M,L,,121,32000,512,2,,30,56.1,,,,,,2,8,8,8,8,,8,8,8,7.20,7.10,6.70,,9.00,10.80,"trail 3p, never menace",Michael,E.,Lauer,Jane,,Elliott,,Penny S. Lauer,,,,,,,,OP,02/26/2026,4,7,"trailed 3p, never menaced",Dialed In,Prize Winner,Pure Prize,03/03/2022,IN,,,,,Michael E. Lauer & Penny S. Lauer,CH,2997044,1054,,,,,,,,,,,,,,,Daily Double,1.00,,29.40,6-3,32417.00,Exacta,1.00,,6.80,3-4,100695.00,Superfecta,.10,,21.24,3-4-6-7,37374.00,Trifecta,.50,,22.45,3-4-6,58459.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
