distance,f1,f2,f3,f4,f5
2,2,,,, 
2.5,1/4,2.5,,, 
3,1/4,3,,, 
3.5,1/4,3.5,1/4,, 
3.75,1/4,3.75,1/4,, 
4,1/4,4,1/4,, 
4.5,1/4,1/2,,, 
5,1/4,1/2,,, 
5.25,1/4,1/2,,, 
5.5,1/4,1/2,5/8,, 
6,1/4,1/2,5/8,, 
6.5,1/4,1/2,3/4,, 
7,1/4,1/2,3/4,, 
7.5,1/4,1/2,3/4,7/8, 
8,1/4,1/2,3/4,7/8, 
8.18,1/4,1/2,3/4,1 mile, 
8.32,1/4,1/2,3/4,1 mile, 
8.5,1/4,1/2,3/4,1 mile, 
9,1/4,1/2,3/4,1 mile, 
9.5,1/4,1/2,3/4,1 mile, 
10,1/4,1/2,3/4,1 mile, 
10.5,1/4,1/2,3/4,1 mile,1 mile 1/4
11,1/4,1/2,3/4,1 mile,1 mile 1/4
11.5,1/4,1/2,3/4,1 mile,1 mile 1/4
12,1/4,1/2,3/4,1 mile,1 mile 1/4
12.5,1/4,1/2,3/4,1 mile,1 mile 1/4
13,1/4,1/2,3/4,1 mile,1 mile 1/4
13.5,1/4,1/2,3/4,1 mile,1 mile 1/4
14,1/2,3/4,1 mile,1 mile 1/4,1 mile 1/2
14.5,1/2,3/4,1 mile,1 mile 1/4,1 mile 1/2
15,1/2,1 mile,1 mile 1/4,1 mile 1/2,1 mile 3/4
15.5,1/2,1 mile,1 mile 1/4,1 mile 1/2,1 mile 3/4
16,1/2,1 mile,1 mile 1/4,1 mile 1/2,1 mile 3/4
16.18,1/2,1 mile,1 mile 1/4,1 mile 1/2,1 mile 3/4
16.32,1/2,1 mile,1 mile 1/4,1 mile 1/2,1 mile 3/4
16.5,1/2,1 mile,1 mile 1/4,1 mile 1/2,1 mile 3/4
17,1/2,1 mile,1 mile 1/4,1 mile 1/2,1 mile 3/4
17.5,1/2,1 mile,1 mile 1/4,1 mile 1/2,1 mile 3/4
18,1/2,1 mile,1 mile 1/4,1 mile 1/2,1 mile 3/4
18.5,1/2,1 mile,1 mile 1/4,1 mile 1/2,1 mile 3/4
19,1/2,1 mile,1 mile 1/4,1 mile 1/2,1 mile 3/4
20,1/2,1 mile,1 mile 1/4,1 mile 1/2,1 mile 3/4
21,1/2,1 mile,1 mile 1/4,1 mile 1/2,1 mile 3/4
22,1/2,1 mile,1 mile 1/4,1 mile 1/2,1 mile 3/4