Distance,Call 1,Call 2,Call 3,Call 4,Call 5
2,,,,,stretch
2.5,,,,,stretch
3,,,,,stretch
3.5,1/4,,,,stretch
3.75,1/4,,,,stretch
4,1/4,,,,stretch
4.5,1/4,,,,stretch
5,3/16,3/8,,,stretch
5.25,3/16,3/8,,,stretch
5.5,1/4,3/8,,,stretch
6,1/4,1/2,,,stretch
6.5,1/4,1/2,,,stretch
7,1/4,1/2,,,stretch
7.5,1/4,1/2,,,stretch
8,1/4,1/2,3/4,,stretch
8.18,1/4,1/2,3/4,,stretch
8.32,1/4,1/2,3/4,,stretch
8.5,1/4,1/2,3/4,,stretch
9,1/4,1/2,3/4,,stretch
9.5,1/4,1/2,3/4,,stretch
10,1/4,1/2,3/4,1 mile,stretch
10.5,1/4,1/2,3/4,1 mile,stretch
11,1/4,1/2,3/4,1 mile,stretch
11.5,1/4,1/2,1 mile,1 mile 1/4,stretch
12,1/4,1/2,1 mile,1 mile 1/4,stretch
12.5,1/4,1/2,1 mile,1 mile 1/4,stretch
13,1/4,1/2,1 mile,1 mile 3/8,stretch
13.5,1/4,1/2,1 mile,1 mile 3/8,stretch
14,1/2,1 mile,1 mile 1/4,1 mile 1/2,stretch
14.5,1/2,1 mile,1 mile 1/4,1 mile 1/2,stretch
15,1/2,1 mile,1 mile 3/8,1 mile 1/2,stretch
15.5,1/2,1 mile,1 mile 1/4,1 mile 5/8,stretch
16,1/2,1 mile,1 mile 1/2,1 mile 3/4,stretch
16.18,1/2,1 mile,1 mile 1/2,1 mile 3/4,stretch
16.32,1/2,1 mile,1 mile 1/2,1 mile 3/4,stretch
16.5,1/2,1 mile,1 mile 1/2,1 mile 3/4,stretch
17,1/2,1 mile,1 mile 1/2,1 mile 3/4,stretch
17.5,1/2,1 mile,1 mile 1/2,1 mile 3/4,stretch
18,1/2,1 mile,1 mile 1/2,2 miles,stretch
18.5,1/2,1 mile,1 mile 1/2,2 miles,stretch
19,1/2,1 mile,1 mile 1/2,2 miles,stretch
20,1/2,1 mile,1 mile 1/2,2 miles,stretch
21,1/2,1 mile,2 miles,2 miles 1/4,stretch
22,1/2,1 mile,2 miles,2 miles 1/4,stretch